NDVI,NDWI,MSI,VV_dB,VH_dB,VV_VH_ratio,growth_fraction,crop_label,stage_label,stress_label,deficit_pct
0.768,0.394,1.069,-18.77,-12.7,1.478,0.32,Maize,Vegetative,Healthy,13.4
0.542,0.447,0.939,-18.24,-12.94,1.41,0.838,Wheat,Maturity,Healthy,1.9
0.792,0.201,1.405,-19.42,-13.47,1.442,0.392,Wheat,Vegetative,Moderate Stress,43.0
0.432,0.364,1.112,-18.92,-13.39,1.413,0.844,Pulses,Maturity,Mild Stress,16.7
0.716,0.328,1.201,-18.95,-13.22,1.433,0.75,Rice,Maturity,Mild Stress,25.4
0.522,0.444,0.98,-18.38,-13.1,1.403,0.14,Maize,Vegetative,Healthy,5.6
0.346,0.195,1.382,-19.55,-14.2,1.377,0.06,Maize,Sowing,Moderate Stress,43.8
0.387,0.273,1.302,-19.47,-13.69,1.422,0.122,Pulses,Vegetative,Moderate Stress,33.1
0.705,0.409,1.065,-18.75,-12.85,1.459,0.74,Maize,Maturity,Healthy,11.5
0.462,0.158,1.472,-19.94,-14.13,1.411,0.11,Maize,Vegetative,Severe Stress,51.3
0.335,0.167,1.478,-19.97,-14.04,1.422,0.911,Pulses,Maturity,Severe Stress,50.0
0.441,0.128,1.528,-20.08,-14.33,1.401,0.9,Maize,Maturity,Severe Stress,56.2
0.865,0.194,1.405,-19.65,-13.35,1.472,0.575,Rice,Heading/Flowering,Moderate Stress,43.7
0.737,0.335,1.15,-18.88,-12.79,1.476,0.733,Rice,Maturity,Mild Stress,19.5
0.783,0.326,1.189,-18.9,-13.07,1.446,0.623,Wheat,Heading/Flowering,Mild Stress,24.1
0.728,0.217,1.362,-19.47,-13.4,1.453,0.28,Maize,Vegetative,Moderate Stress,39.3
0.497,0.373,1.113,-18.82,-13.02,1.445,0.211,Pulses,Vegetative,Mild Stress,15.9
0.291,0.243,1.312,-19.19,-13.94,1.377,0.96,Maize,Harvest,Moderate Stress,35.1
0.557,0.28,1.251,-19.27,-13.32,1.447,0.15,Rice,Vegetative,Moderate Stress,30.6
0.731,0.24,1.342,-19.45,-13.28,1.465,0.308,Wheat,Vegetative,Moderate Stress,37.6
0.655,0.338,1.176,-18.83,-13.05,1.443,0.762,Wheat,Maturity,Mild Stress,22.9
0.645,0.215,1.394,-19.48,-13.45,1.448,0.231,Wheat,Vegetative,Moderate Stress,40.9
0.54,0.346,1.125,-18.92,-13.22,1.431,0.15,Maize,Vegetative,Mild Stress,17.6
0.793,0.187,1.412,-19.77,-13.36,1.48,0.65,Maize,Heading/Flowering,Severe Stress,45.7
0.592,0.276,1.283,-19.4,-13.21,1.469,0.82,Maize,Maturity,Moderate Stress,30.5
0.862,0.125,1.554,-20.22,-13.56,1.491,0.583,Rice,Heading/Flowering,Severe Stress,57.2
0.807,0.471,0.932,-18.21,-12.22,1.49,0.63,Maize,Heading/Flowering,Healthy,1.2
0.759,0.455,0.954,-18.21,-12.46,1.461,0.31,Maize,Vegetative,Healthy,3.5
0.279,0.181,1.46,-19.88,-14.25,1.395,0.962,Wheat,Harvest,Severe Stress,49.0
0.541,0.221,1.346,-19.59,-13.61,1.439,0.142,Rice,Vegetative,Moderate Stress,39.6
0.585,0.134,1.549,-19.83,-13.88,1.429,0.311,Pulses,Vegetative,Severe Stress,55.7
0.849,0.118,1.575,-20.08,-13.52,1.485,0.52,Maize,Heading/Flowering,Severe Stress,59.7
0.46,0.382,1.09,-18.72,-13.42,1.395,0.178,Pulses,Vegetative,Healthy,14.9
0.833,0.384,1.068,-18.52,-12.7,1.458,0.633,Rice,Heading/Flowering,Healthy,13.2
0.395,0.152,1.512,-20.12,-14.11,1.426,0.075,Rice,Sowing,Severe Stress,54.3
0.775,0.218,1.374,-19.4,-13.45,1.442,0.3,Rice,Vegetative,Moderate Stress,40.1
0.612,0.168,1.435,-19.72,-13.82,1.427,0.356,Pulses,Vegetative,Severe Stress,47.1
0.516,0.35,1.137,-18.99,-13.31,1.427,0.854,Wheat,Maturity,Mild Stress,21.3
0.603,0.447,0.943,-18.28,-12.85,1.423,0.2,Wheat,Vegetative,Healthy,3.6
0.82,0.394,1.049,-18.74,-12.52,1.497,0.492,Wheat,Heading/Flowering,Healthy,11.5
0.775,0.311,1.211,-19.31,-13.2,1.463,0.3,Rice,Vegetative,Mild Stress,27.8
0.428,0.243,1.347,-19.62,-13.67,1.435,0.1,Wheat,Vegetative,Moderate Stress,39.1
0.818,0.394,1.012,-18.65,-12.54,1.487,0.469,Wheat,Heading/Flowering,Healthy,10.0
0.335,0.406,1.01,-18.6,-13.34,1.394,0.089,Pulses,Vegetative,Healthy,9.9
0.636,0.308,1.199,-19.23,-13.18,1.459,0.411,Pulses,Vegetative,Mild Stress,25.4
